"depths","ALNUSX","AMBROSIA","ARTEMISIA","BETULA","CYPERACE","OSTRYCAR","PINUSX","POACEAE","POPULUS","QUERCUS","RUMEOXYR"
1,6,45,8,27,4,4,25,25,27,122,0
15,9,48,12,22,7,9,22,26,9,103,0
30,17,47,13,35,8,12,34.5,38,11,95,1
50,19,47,10,28,5,10,20,30,12,82,0
60,11,49,15,39,7,10,32,32,13,82,0
70,23,46,25,25,18,12,47,34,9,86,0
75,19,22,19,23,6,11,43.5,25,1,100,0
80,16,16,35,39,19,15,56,19,6,100,0
90,10,11,15,31,16,32,52,13,15,106,0
105,5,9,15,38,13,19,31.5,21,6,83,0
125,1,14,9,43,16,22,30.5,19,7,129,0
145,12,13,10,31,9,18,30,24,4,162,0
